,tag,center,arch_type,eng_type,block,zone,cut,demo,projmask,blob2,demo-2,cut_mask,blob-mask
mfb_sw_panel_1_13_2,A-0,3880,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_14_1,A-0,3735,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_14_2,A-0,3882,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_15_1,A-0,3737,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_15_2,A-0,3884,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_16_1,A-0,3739,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_16_2,A-0,3886,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_17_1,A-0,3741,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_17_2,A-0,3888,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_18_1,A-0,3743,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_18_2,A-0,3890,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_19_1,A-0,3745,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_19_2,A-0,3892,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_20_1,A-0,3747,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_20_2,A-0,3894,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_21_1,A-0,3749,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_21_2,A-0,3896,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_22_1,A-0,3751,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_22_2,A-0,3898,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_23_1,A-0,3753,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_23_2,A-0,3900,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_24_1,A-0,3755,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_24_2,A-0,3902,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_25_1,A-0,3757,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_25_2,A-0,3904,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_26_1,A-0,3759,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_26_2,A-0,3906,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_27_1,A-0,3761,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_27_2,A-0,3908,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_28_1,A-0,3763,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_28_2,A-0,3910,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_29_1,A-0,3765,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_29_2,A-0,3912,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_30_1,A-0,3767,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_30_2,A-0,3914,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_31_1,A-0,3769,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_31_2,A-0,3916,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_32_1,A-0,3771,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_32_2,A-0,3918,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_33_1,A-0,3773,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_33_2,A-0,3920,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_34_1,A-0,3775,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_34_2,A-0,3922,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_1_35_1,A-0,3777,A,0,SW,L2,0,2,2,2,2,0,2
